INFO 2023-09-21 20:12:08,540 autoreload 24656 20356 Watching for file changes with StatReloader
INFO 2023-09-21 20:12:15,411 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:15,864 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:16,062 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:16,202 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:16,345 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:16,480 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:12:16,593 basehttp 24656 16448 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:14:23,966 autoreload 24656 20356 C:\Users\Сергей\PycharmProjects\project-django\games_app\views.py changed, reloading.
INFO 2023-09-21 20:14:24,583 autoreload 16184 15904 Watching for file changes with StatReloader
INFO 2023-09-21 20:15:42,244 autoreload 16184 15904 C:\Users\Сергей\PycharmProjects\project-django\games_app\views.py changed, reloading.
INFO 2023-09-21 20:15:42,941 autoreload 19208 1508 Watching for file changes with StatReloader
INFO 2023-09-21 20:17:14,364 autoreload 19208 1508 C:\Users\Сергей\PycharmProjects\project-django\games_app\views.py changed, reloading.
INFO 2023-09-21 20:17:14,936 autoreload 9724 1428 Watching for file changes with StatReloader
INFO 2023-09-21 20:17:23,654 views 9724 19328 Случайное число: 74
INFO 2023-09-21 20:17:23,655 basehttp 9724 19328 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:17:24,269 views 9724 19328 Случайное число: 98
INFO 2023-09-21 20:17:24,270 basehttp 9724 19328 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:17:24,712 views 9724 19328 Случайное число: 85
INFO 2023-09-21 20:17:24,713 basehttp 9724 19328 "GET /random_number/ HTTP/1.1" 200 2
INFO 2023-09-21 20:17:32,557 views 9724 19328 Кубик выпал стороной: 3
INFO 2023-09-21 20:17:32,558 basehttp 9724 19328 "GET /cube/ HTTP/1.1" 200 1
INFO 2023-09-21 20:17:35,856 views 9724 19328 Кубик выпал стороной: 3
INFO 2023-09-21 20:17:35,857 basehttp 9724 19328 "GET /cube/ HTTP/1.1" 200 1
INFO 2023-09-21 20:17:36,237 views 9724 19328 Кубик выпал стороной: 5
INFO 2023-09-21 20:17:36,238 basehttp 9724 19328 "GET /cube/ HTTP/1.1" 200 1
INFO 2023-09-21 20:17:36,571 views 9724 19328 Кубик выпал стороной: 5
INFO 2023-09-21 20:17:36,572 basehttp 9724 19328 "GET /cube/ HTTP/1.1" 200 1
INFO 2023-09-21 20:17:37,034 views 9724 19328 Кубик выпал стороной: 1
INFO 2023-09-21 20:17:37,034 basehttp 9724 19328 "GET /cube/ HTTP/1.1" 200 1
INFO 2023-09-21 20:17:41,635 views 9724 19328 Значение: решка
INFO 2023-09-21 20:17:41,636 basehttp 9724 19328 "GET /eagle/ HTTP/1.1" 200 10
INFO 2023-09-21 20:17:42,347 views 9724 19328 Значение: орел
INFO 2023-09-21 20:17:42,348 basehttp 9724 19328 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:17:42,756 views 9724 19328 Значение: орел
INFO 2023-09-21 20:17:42,757 basehttp 9724 19328 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:17:43,123 views 9724 19328 Значение: орел
INFO 2023-09-21 20:17:43,124 basehttp 9724 19328 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:17:43,420 views 9724 19328 Значение: орел
INFO 2023-09-21 20:17:43,421 basehttp 9724 19328 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:20:27,772 autoreload 9724 1428 C:\Users\Сергей\PycharmProjects\project-django\myproject\settings.py changed, reloading.
INFO 2023-09-21 20:20:28,407 autoreload 16448 18728 Watching for file changes with StatReloader
INFO 2023-09-21 20:20:34,999 views 16448 21628 Р—РЅР°С‡РµРЅРёРµ: РѕСЂРµР»
INFO 2023-09-21 20:20:35,000 basehttp 16448 21628 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:20:35,620 views 16448 21628 Р—РЅР°С‡РµРЅРёРµ: РѕСЂРµР»
INFO 2023-09-21 20:20:35,621 basehttp 16448 21628 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:20:37,545 views 16448 21628 Р—РЅР°С‡РµРЅРёРµ: СЂРµС€РєР°
INFO 2023-09-21 20:20:37,546 basehttp 16448 21628 "GET /eagle/ HTTP/1.1" 200 10
INFO 2023-09-21 20:20:38,043 views 16448 21628 Р—РЅР°С‡РµРЅРёРµ: РѕСЂРµР»
INFO 2023-09-21 20:20:38,044 basehttp 16448 21628 "GET /eagle/ HTTP/1.1" 200 8
INFO 2023-09-21 20:20:38,537 views 16448 21628 Р—РЅР°С‡РµРЅРёРµ: СЂРµС€РєР°
INFO 2023-09-21 20:20:38,538 basehttp 16448 21628 "GET /eagle/ HTTP/1.1" 200 10
